Id,OrderDate,Retail net spend
01db4e5c-8732-4438-8a1b-0e64bb40757c,2021-08-09,58.33
01db4e5c-8732-4438-8a1b-0e64bb40757c,2021-08-11,109.17
01db4e5c-8732-4438-8a1b-0e64bb40757c,2022-07-10,62.67
01e86b3c-231f-4911-888c-a6638323ebb8,2021-07-14,125.0
01fcd015-1031-42cf-acc0-29e16616b310,2022-08-04,75.52097069999999
062fb04c-8714-4dd3-b540-2d0b4869d7c4,2021-11-07,120.0
06a698c8-cecb-44d6-ac7b-2d4e8ee594db,2022-05-22,62.5
06a698c8-cecb-44d6-ac7b-2d4e8ee594db,2023-05-05,111.67
06a698c8-cecb-44d6-ac7b-2d4e8ee594db,2023-05-21,60.75
06a698c8-cecb-44d6-ac7b-2d4e8ee594db,2022-08-04,56.25
06a698c8-cecb-44d6-ac7b-2d4e8ee594db,2022-10-25,18.75
06a698c8-cecb-44d6-ac7b-2d4e8ee594db,2023-01-30,42.0
06fccade-44e1-44e1-9d49-4068dda62845,2022-08-04,124.04204315999999
06fccade-44e1-44e1-9d49-4068dda62845,2023-06-01,62.70209072000001
076279aa-8073-41d5-91c0-4e1182c35c03,2022-11-22,26.67
076279aa-8073-41d5-91c0-4e1182c35c03,2021-12-10,63.33
07c2d24a-da87-49b7-862e-5ee7daba8609,2023-01-18,84.94053432
081e9c16-2da4-4c69-bda4-b4d989bae645,2023-03-15,40.938714399999995
081e9c16-2da4-4c69-bda4-b4d989bae645,2023-05-24,39.51472995
089a52c0-4ec1-44a0-8ecc-1a32cf742824,2022-02-15,37.260835199999995
089a52c0-4ec1-44a0-8ecc-1a32cf742824,2023-04-18,31.78008
089a52c0-4ec1-44a0-8ecc-1a32cf742824,2023-01-09,54.0
0988c8dc-53ba-467a-ba6b-9331ba46edc8,2021-12-24,32.08
0ce5d2e9-7275-4407-8d0a-8a9ed024a462,2023-02-21,12.0
0d58be42-9d90-4fc1-a2df-a7b7b76934b8,2022-05-31,75.0
0e956371-5855-4019-9e6e-38753413a6a3,2021-11-21,142.2833923
0ed685f9-3de6-47f6-9f78-c48f3312336d,2023-05-26,92.5
101a1d9b-6e5b-40b8-8be0-053c2a36a9c2,2022-06-29,70.83
101a1d9b-6e5b-40b8-8be0-053c2a36a9c2,2021-12-19,29.17
101a1d9b-6e5b-40b8-8be0-053c2a36a9c2,2022-02-10,14.58
12948a2e-ac6f-4288-b664-462eeca8ca88,2022-03-25,39.91
12948a2e-ac6f-4288-b664-462eeca8ca88,2022-04-10,29.17
12948a2e-ac6f-4288-b664-462eeca8ca88,2023-02-25,22.5
12948a2e-ac6f-4288-b664-462eeca8ca88,2023-05-19,56.25
12948a2e-ac6f-4288-b664-462eeca8ca88,2022-10-22,37.5
12f383bd-cec8-4f93-8b88-3ff408a6e48d,2022-05-22,122.1123925
12f383bd-cec8-4f93-8b88-3ff408a6e48d,2023-05-27,24.29937
12f383bd-cec8-4f93-8b88-3ff408a6e48d,2023-01-10,32.9064
12f383bd-cec8-4f93-8b88-3ff408a6e48d,2023-02-04,53.092224
13324f59-d0f2-47ff-be41-e03a3c7ff6cc,2021-10-10,30.0
14a5ce7b-a170-4a4c-be9c-353b342012a9,2023-04-04,26.25
14a5ce7b-a170-4a4c-be9c-353b342012a9,2022-08-05,52.5
14a5ce7b-a170-4a4c-be9c-353b342012a9,2021-10-21,52.5
159b0a25-6e1e-493f-a087-3084f6f1c11c,2022-05-19,92.61425249999999
159b0a25-6e1e-493f-a087-3084f6f1c11c,2021-08-05,97.2625775
159b0a25-6e1e-493f-a087-3084f6f1c11c,2021-08-06,97.7314075
159b0a25-6e1e-493f-a087-3084f6f1c11c,2021-08-16,97.8425175
159b0a25-6e1e-493f-a087-3084f6f1c11c,2021-08-27,98.4595845
159b0a25-6e1e-493f-a087-3084f6f1c11c,2022-01-08,50.9746545
159b0a25-6e1e-493f-a087-3084f6f1c11c,2021-09-28,79.66045
159b0a25-6e1e-493f-a087-3084f6f1c11c,2021-11-17,28.5360075
159b0a25-6e1e-493f-a087-3084f6f1c11c,2023-02-16,33.358
17ced21b-8b52-4b9b-8e0f-44253f55b371,2022-07-20,245.4324
186b8479-e1da-400b-b87c-bcd348c26a6a,2021-11-09,70.83
18800703-ab11-4536-84a5-47c2dc1d14d4,2021-09-20,32.0
19363d49-fc51-4f2b-a3fd-3cd82870216a,2021-12-26,91.63830438000002
195ec9aa-e817-44ad-90f9-abedf4c7b807,2022-05-22,107.97232500000001
195ec9aa-e817-44ad-90f9-abedf4c7b807,2023-05-17,62.135484
195ec9aa-e817-44ad-90f9-abedf4c7b807,2021-12-26,63.86550749999999
1b0c4c0f-fbb4-46da-b02d-f72e1b21f899,2023-03-29,41.25
1b0e87bc-65e3-49a9-96c9-d40f1ec9de2f,2023-03-04,29.17
1c3aa690-bba0-4e64-8191-cb7a73c31a38,2023-04-07,52.5
1c3aa690-bba0-4e64-8191-cb7a73c31a38,2022-07-04,86.25
1c3aa690-bba0-4e64-8191-cb7a73c31a38,2022-07-05,75.0
1d184c90-2cbd-4d35-91df-aa1050e03a98,2021-09-03,69.0
1d184c90-2cbd-4d35-91df-aa1050e03a98,2023-03-30,36.75
1d514d2f-98f0-4d30-848a-4f1fb68aab1d,2023-01-25,55.0
1dfa0018-ddf7-4c70-b894-555f5e6512ae,2022-02-13,41.66
1e54ba00-e9bc-4687-94ce-a80ac5f84b81,2022-05-02,47.92
1e54ba00-e9bc-4687-94ce-a80ac5f84b81,2023-03-02,53.75
229ecb35-0cb3-4c41-ab57-06e21ae5a5fc,2022-05-16,75.0
229ecb35-0cb3-4c41-ab57-06e21ae5a5fc,2021-07-21,180.0
229ecb35-0cb3-4c41-ab57-06e21ae5a5fc,2022-06-18,62.5
22f6e705-026d-4598-902a-11ea9060d681,2022-07-16,105.44075
22f6e705-026d-4598-902a-11ea9060d681,2022-09-06,112.11265
22f6e705-026d-4598-902a-11ea9060d681,2021-10-01,52.03765
239ab8e1-663b-48b6-9cee-fe7f5ed17fe3,2022-06-10,37.5
245dd258-90b1-4de6-8395-c70daf8c19af,2023-03-04,33.1850625
26522ffb-ded8-4d92-9059-7076cae87366,2022-05-19,52.5
27eb1d3f-215a-43a7-a041-572c6f7d0b73,2021-12-11,20.83
2b6941f4-9895-4a4e-86f0-21b5d59ecc5c,2021-09-20,75.0
2b6941f4-9895-4a4e-86f0-21b5d59ecc5c,2023-01-09,52.5
3006e7db-c0ad-4afb-99ca-b517b8b21929,2022-05-19,88.9647
3007f38c-c5e7-43ab-8a38-1ec39a2b8fa2,2022-06-11,52.5
31b44a93-827d-4f01-beba-bec07beb02f9,2022-10-08,128.08371599999998
32a7824f-e19f-488c-8ae9-ab964e4123f5,2022-04-30,65.10752448
33076b12-cc11-436d-bd81-6f889e0b2c19,2022-11-03,63.75
33076b12-cc11-436d-bd81-6f889e0b2c19,2022-11-12,45.0
352272e3-c037-42c6-b8d9-3948e698aa63,2021-08-12,58.33
352272e3-c037-42c6-b8d9-3948e698aa63,2022-01-27,29.17
353e5dc1-c399-4b88-8884-726ace63d6c7,2023-03-09,20.67
36d289e4-2d34-4e87-9033-c169d946afb2,2023-05-19,76.2147
36d289e4-2d34-4e87-9033-c169d946afb2,2022-08-26,152.793
36d289e4-2d34-4e87-9033-c169d946afb2,2022-09-01,78.01604999999999
3732583b-22ae-497c-8966-569ea646a876,2021-07-30,58.33
3732583b-22ae-497c-8966-569ea646a876,2022-05-30,62.5
37601375-a947-47cd-acdb-024bdafa4fa7,2022-12-23,85.0
37601375-a947-47cd-acdb-024bdafa4fa7,2021-11-27,86.5655175
3777efe8-e9c0-44be-9f77-c0ad0a26bb38,2022-08-12,31.71165
37c0cebb-f97e-4c38-aaed-97196580b362,2022-06-19,87.5
3b812f92-5852-40eb-9948-80349c80e096,2023-05-19,54.88
3b89d776-839e-43e9-9469-2a234d3d888f,2022-07-19,94.57033986
3b89d776-839e-43e9-9469-2a234d3d888f,2022-02-03,89.000945
3b89d776-839e-43e9-9469-2a234d3d888f,2021-11-23,81.070734
3c6e9765-7e52-459e-82dd-019968986f02,2023-03-05,37.390950000000004
3c6e9765-7e52-459e-82dd-019968986f02,2022-11-25,50.325610000000005
3c6e9765-7e52-459e-82dd-019968986f02,2022-08-01,38.53812
3cc9ae87-1887-4ba7-a561-d02c42ce8928,2021-08-09,70.25
3cc9ae87-1887-4ba7-a561-d02c42ce8928,2021-09-05,70.25
3cc9ae87-1887-4ba7-a561-d02c42ce8928,2022-11-28,28.93
